word,total_count,exam_count,effective_level,match_type
的,12518,65,1.0,direct
了,9069,65,1.0,direct
我,6756,65,1.0,direct
你,4940,65,1.0,direct
是,4297,65,1.0,direct
男,3043,65,1.0,direct
女,2990,65,1.0,direct
什么,2836,65,1.0,direct
去,2745,65,1.0,direct
在,2696,65,1.0,direct
他,2673,65,1.0,direct
很,2392,65,1.0,direct
有,2324,65,1.0,direct
吗,2049,65,1.0,direct
好,1970,65,1.0,direct
就,1944,65,1.0,direct
不,1869,65,1.0,direct
题,1859,65,2.0,direct
我们,1754,65,1.0,direct
现在,1648,65,1.0,direct
要,1645,65,1.0,direct
第,1625,65,1.0,direct
吧,1621,65,1.0,direct
都,1593,65,1.0,direct
人,1516,65,1.0,direct
看,1310,65,1.0,direct
问,1256,65,1.0,direct
可以,1236,65,2.0,direct
您,1220,65,1.0,direct
也,1142,65,1.0,direct
没,1138,65,1.0,direct
做,1115,65,1.0,direct
部分,1090,65,2.0,direct
她,1048,65,1.0,direct
还,1039,65,1.0,direct
想,1008,65,1.0,direct
和,1008,65,1.0,direct
例如,995,65,2.0,direct
到,919,65,1.0,direct
这个,915,65,1.0,decomposed
怎么,908,65,1.0,direct
知道,905,65,1.0,direct
一个,894,65,1.0,decomposed
多,891,65,1.0,direct
开始,887,65,3.0,direct
会,861,65,1.0,direct
他们,849,65,1.0,direct
这,816,65,1.0,direct
喜欢,807,65,1.0,direct
说,801,65,1.0,direct
