word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
会议室,200,38,"3,4","listening,reading",3,False,False,True,True
填写,137,64,"3,4","listening,reading",2,True,False,True,True
总能,119,33,"3,4","listening,reading",2,True,False,True,True
有点,111,48,"3,4","listening,reading",2,True,False,True,True
书写,99,65,"3,4","listening,reading",2,True,False,True,True
选出,96,32,4,reading,2,True,False,True,True
下列,95,26,4,"listening,reading",2,True,False,True,True
发给,93,33,"3,4","listening,reading",2,True,False,True,True
上下班,91,42,"3,4","listening,reading",3,True,False,True,True
儿,89,48,"3,4","listening,reading",1,False,False,True,True
阅,85,51,"3,4",reading,1,False,False,True,True
早点儿,84,41,"3,4",reading,3,False,False,True,True
汉办,78,64,"3,4",reading,2,False,False,False,True
孔子,78,64,"3,4",reading,2,True,False,True,True
年轻人,76,33,"3,4","listening,reading",3,True,False,True,True
您好,67,28,"3,4","listening,reading",2,True,False,True,True
早点,59,34,"3,4",listening,2,True,False,True,True
意,59,56,"3,4",reading,1,False,False,True,True
语,59,50,"3,4","listening,reading",1,False,False,True,True
注,53,53,"3,4",reading,1,False,False,True,True
快点,53,32,"3,4","listening,reading",2,True,False,True,True
汉,50,50,"3,4",reading,1,False,False,True,True
刘,45,14,"3,4","listening,reading",1,False,False,True,True
渐弱,43,43,"3,4",reading,2,False,False,True,True
书画,36,16,"3,4",listening,2,True,False,True,True
口渴,34,30,"3,4","listening,reading",2,True,False,True,True
小马,33,12,"3,4","listening,reading",2,True,False,True,True
上海,31,13,"3,4","listening,reading",2,True,False,True,True
造句,31,31,4,reading,2,True,False,True,True
到时候,30,16,"3,4","listening,reading",3,False,False,True,True
雨伞,30,13,"3,4","listening,reading",2,True,False,True,True
星期六,29,15,"3,4","listening,reading",3,False,False,True,True
招聘会,29,15,4,"listening,reading",3,False,False,True,True
小黄,29,13,"3,4","listening,reading",2,True,False,False,True
逛街,28,19,4,"listening,reading",2,True,False,True,True
昨晚,28,14,"3,4","listening,reading",2,False,False,True,True
女孩子,28,12,"3,4","listening,reading",3,False,False,True,True
电影票,27,9,"3,4","listening,reading",3,False,False,True,True
骑马,26,17,"3,4","listening,reading",2,True,False,True,True
今晚,26,12,"3,4","listening,reading",2,False,False,True,True
受欢迎,25,16,4,"listening,reading",3,False,False,True,True
下星期,25,12,"3,4","listening,reading",3,False,False,True,True
西门,24,13,"3,4","listening,reading",2,True,False,True,True
过生日,23,16,"3,4","listening,reading",3,True,False,True,True
咖啡馆,23,13,"3,4","listening,reading",3,False,False,True,True
孤单,23,20,4,"listening,reading",2,False,False,True,True
有时,22,16,"3,4","listening,reading",2,True,False,True,True
李,22,13,"3,4","listening,reading",1,False,False,True,True
街上,21,12,"3,4","listening,reading",2,True,False,True,True
穿着,21,16,"3,4","listening,reading",2,True,False,True,True
听懂,21,13,"3,4","listening,reading",2,True,False,True,True
云南,20,8,"3,4","listening,reading",2,True,False,True,True
怎么回事,19,11,"3,4","listening,reading",4,False,False,True,True
周六,18,10,"3,4","listening,reading",2,True,False,True,True
周日,18,11,"3,4","listening,reading",2,True,False,True,True
实体,18,17,3,listening,2,False,False,True,True
澡,18,13,"3,4","listening,reading",1,False,False,True,True
爸妈,18,14,"3,4","listening,reading",2,False,False,True,True
输赢,18,10,4,"listening,reading",2,True,False,True,True
拱,17,17,"3,4",listening,1,False,False,True,True
女孩,16,10,"3,4","listening,reading",2,False,False,True,True
河边,16,11,"3,4","listening,reading",2,True,False,True,True
办好,15,9,"3,4","listening,reading",2,True,False,True,True
咖啡店,15,4,"3,4","listening,reading",3,False,False,True,True
短发,15,6,"3,4","listening,reading",2,True,False,True,True
下个,14,8,"3,4","listening,reading",2,True,False,False,True
点菜,14,7,"3,4","listening,reading",2,True,False,True,True
儿童节,14,5,4,"listening,reading",3,False,False,True,True
关门,14,9,"3,4","listening,reading",2,True,False,True,True
进水,13,6,"3,4","listening,reading",2,True,False,True,True
舞会,13,5,"3,4","listening,reading",2,True,False,True,True
星期五,13,6,"3,4","listening,reading",3,False,False,True,True
借钱,13,9,"3,4","listening,reading",2,True,False,True,True
门前,12,8,"3,4","listening,reading",2,True,False,True,True
出错,12,6,"3,4","listening,reading",2,True,False,True,True
茶馆,12,9,"3,4","listening,reading",2,False,False,True,True
叫做,12,10,"3,4","listening,reading",2,True,False,True,True
电子信箱,12,7,"3,4","listening,reading",4,True,False,True,True
叶,12,4,4,"listening,reading",1,False,False,True,True
传真机,12,9,4,"listening,reading",3,False,False,True,True
考上,11,7,"3,4","listening,reading",2,True,False,True,True
戴上,11,7,"3,4","listening,reading",2,True,False,False,True
植物园,11,7,4,"listening,reading",3,False,False,True,True
门外,11,4,"3,4","listening,reading",2,True,False,True,True
试着,11,10,4,reading,2,True,False,False,True
复印机,11,7,4,"listening,reading",3,False,False,True,True
老年人,11,6,"3,4","listening,reading",3,True,False,True,True
碗筷,11,8,"3,4","listening,reading",2,False,False,True,True
相亲,11,1,3,listening,2,False,False,True,True
丽江,11,2,4,"listening,reading",2,False,False,True,True
卖完,11,7,"3,4","listening,reading",2,True,False,True,True
申请表,11,7,4,"listening,reading",3,False,False,True,True
责任心,11,9,4,"listening,reading",3,False,False,True,True
所有人,11,8,4,"listening,reading",3,True,False,True,True
下个星期,11,8,"3,4","listening,reading",4,False,False,True,True
孙,11,3,"3,4","listening,reading",1,False,False,True,True
累坏,10,6,"3,4","listening,reading",2,True,False,True,True
责任感,10,6,4,"listening,reading",3,False,False,True,True
睡醒,10,10,4,reading,2,True,False,True,True
刷卡,10,5,"3,4","listening,reading",2,True,False,True,True
吵醒,10,6,4,"listening,reading",2,True,False,True,True
天黑,10,7,"3,4","listening,reading",2,True,False,True,True
运动鞋,10,5,"3,4","listening,reading",3,True,False,True,True
海南,10,4,4,"listening,reading",2,True,False,True,True
己,9,9,"3,4",reading,1,False,False,True,True
李宗盛,9,9,3,listening,3,False,False,True,True
骗人,9,7,4,"listening,reading",2,True,False,True,True
艺术节,9,4,4,reading,3,False,False,True,True
学好,9,4,"3,4","listening,reading",2,True,False,True,True
小林,9,3,4,"listening,reading",2,False,False,True,True
接人,9,6,"3,4","listening,reading",2,True,False,False,True
菜市场,9,4,4,"listening,reading",3,True,False,True,True
苹果汁,9,5,"3,4","listening,reading",3,False,False,True,True
发脾气,9,6,4,reading,3,False,False,True,True
游泳馆,9,8,"3,4","listening,reading",3,False,False,True,True
选择题,9,4,3,"listening,reading",3,False,False,True,True
小白,9,5,"3,4","listening,reading",2,True,False,False,True
