word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
小王,306,48,"3,4","listening,reading",2,True,False,False,False
会议室,200,38,"3,4","listening,reading",3,False,False,True,True
填写,137,64,"3,4","listening,reading",2,True,False,True,True
总能,119,33,"3,4","listening,reading",2,True,False,True,True
分三,114,65,"3,4","listening,reading",2,True,False,False,False
有点,111,48,"3,4","listening,reading",2,True,False,True,True
书写,99,65,"3,4","listening,reading",2,True,False,True,True
选出,96,32,4,reading,2,True,False,True,True
下列,95,26,4,"listening,reading",2,True,False,True,True
发给,93,33,"3,4","listening,reading",2,True,False,True,True
上下班,91,42,"3,4","listening,reading",3,True,False,True,True
儿,89,48,"3,4","listening,reading",1,False,False,True,True
阅,85,51,"3,4",reading,1,False,False,True,True
早点儿,84,41,"3,4",reading,3,False,False,True,True
办个,82,32,4,"listening,reading",2,True,False,False,False
点半,80,42,"3,4","listening,reading",2,True,False,False,False
汉办,78,64,"3,4",reading,2,False,False,False,True
孔子,78,64,"3,4",reading,2,True,False,True,True
年轻人,76,33,"3,4","listening,reading",3,True,False,True,True
谢谢您,67,33,"3,4","listening,reading",3,False,False,True,False
您好,67,28,"3,4","listening,reading",2,True,False,True,True
答题卡,64,64,"3,4",reading,3,True,False,True,False
多长时间,64,24,"3,4","listening,reading",4,True,False,True,False
是因为,64,34,"3,4","listening,reading",3,True,False,True,False
选词,63,32,4,reading,2,True,False,True,False
有个,62,33,"3,4","listening,reading",2,True,False,False,False
意,59,56,"3,4",reading,1,False,False,True,True
语,59,50,"3,4","listening,reading",1,False,False,True,True
早点,59,34,"3,4",listening,2,True,False,True,True
注,53,53,"3,4",reading,1,False,False,True,True
快点,53,32,"3,4","listening,reading",2,True,False,True,True
分四,52,28,3,"listening,reading",2,True,False,False,False
汉,50,50,"3,4",reading,1,False,False,True,True
小张,50,17,"3,4","listening,reading",2,True,False,True,False
快到,49,35,"3,4","listening,reading",2,True,False,False,False
刘,45,14,"3,4","listening,reading",1,False,False,True,True
渐弱,43,43,"3,4",reading,2,False,False,True,True
老张,42,9,"3,4","listening,reading",2,True,False,True,False
小李,41,19,"3,4","listening,reading",2,False,False,False,False
起晚,38,33,"3,4","listening,reading",2,True,False,False,False
琉小,37,1,3,listening,2,False,False,False,False
书画,36,16,"3,4",listening,2,True,False,True,True
新来,36,20,"3,4","listening,reading",2,True,False,False,False
口渴,34,30,"3,4","listening,reading",2,True,False,True,True
长时间,34,21,"3,4","listening,reading",3,True,False,True,False
小马,33,12,"3,4","listening,reading",2,True,False,True,True
河上,33,33,3,reading,2,True,False,True,False
油是,32,32,4,reading,2,True,False,False,False
对错,31,31,4,reading,2,True,False,True,False
